,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1856,"[Marketing Management Bcom,Bcom Risk Management,Matric]","[CULT SA,SAB Miller,Student Village]","[Events Manager,Campaign Manager,Brand Assistant Manager,Customer Manager,Assistant Key Account Manager,Marketing Manager,Assistant Marketing]","[Planning for experiential events within the region,Sales and Events Representative]",Sales Manager,"[Manager : Events and Campaigns,Brand Developer: Experiential Events Marketing \u2013 Regional]","[Brand Management,Event Conceptualisation,Marketing,Events and Campaigns Marketing,Entertainment Event Management,Brand Activations,Brand Development,10 Years Marketing /  Events and Campaigns]",1857
1857,"[Dipl. Project Management,B.Sc]","[Avatar,Melotronics,RCG Information Technology,Sanlam,Sybase,University of The Western Cape]",[],"[Senior Programmer,Mathematics Tutor,Sales Assistant]",Senior Developer,"[Senior Consultant,Senior Consultant]","[Transact Sql,Powerbuilder,Client Server Design Methodolgy,Crystal Reports,Project Management,Powerdesigner,JSP,Java,Cobol,Assembler,Erwin]",1858
1858,[Electronics&Communications Engineering],"[Apara Enterprise Solution (P),Mphasis AN EDS Compnay,Sans Bound Solution (P),Vassum Softtech]",[],[Software Programmer Developer],Seniorengineer Unit Manager,"[Engineer Security and Networking Solutions,Network & Security Trainee and Consultant]",[Network Security],1859
1859,"[BSc Computer Science and Informatics Honours,BSc IT: Industry and Mining,NSC]","[IsoMetrix,Microzone IT Specialists,PBT Group]","[SQL Developer,BI Developer,Data Analyst,Data Warehouse Developer]",[],BI Support Consultant,"[System Consultant,Intern Developer]","[SQL,HTML/5,C#,CSS,ASP.NET,R,SAS,XML,Visual Studio,Microsoft office suite,Java,Eclipse,JavaScript,AJAX,Android,JQUERY,JSON,MVC,MatLab,Bootstrap,SSIS,Tableau,SSAS]",1860
1860,"[Masters in health economics,Advance peak performance,Bachelor of Science]","[Discovery Health,Discovery Life,Medscheme Life,Sage Life]",[Senior analytics manager],"[Senior Analyst Developer,Pricing Analyst]",Head of Access Innovation,"[senior analytics manager,Senior Analyst Developer]","[Analytical,microsoft office,spss,modeller,netezza,sql,Communication,Problem solving,Microsoft office,Database query,Leadership,Statistical modelling,Business strategy,Project management,analytics,management,research]",1861
1861,"[Oracle 9i : Dba,Oca,P G Diploma In Computer Management,B.Com]","[u""Hassan Mansour Int'L Co"", u'Maegabyte Computer Academy,Marico Industries,Software Solutions Integrated]",[],[Programmer Instructor],Analyst-Developer,"[Software Engineer,Trainee Programmer]","[Oracle,Dev. 2000,Visual Basic,Microsoft Office]",1862
1862,"[Mcad C#,National Diploma Information Technology]","[Kunene Services & Solutions,Oakwell Solutions]",[],[],Senior Systems Developer,[Systems Engineer],"[SQL,ASP,Visual Basic,Com,Com+,Dcom,IIS,Interdev,Vbscript,Source Safe,Jscript,Vb.Net,Asp.Net,Bi - Olap,C#.Net,Microsoft Reporting Services]",1863
1863,"[Bachelor Of Science In Computer Science,Bachelor Of Science In Computer Science,Matric]","[Beyond Commerce,Business Connexion,LA Casa Nostra,Lizzard Wetsuits]",[],[Waiter],Software Developer,"[Software Developer,Relief Manager]","[Network Security,Server Administration,Programming]",1864
1864,"[Certificate In Project Management,Bachelor Of Science Computer Science And Applied M]","[Adcorp Holdings,Arivia.Kom-Mainframe Environment,ASD Solutions,Caterplus (A Division of The Bidvest Group),Company\tSis Global,South African Hajj & Umrah Council]",[],"[Customer Support Consultant,Student Trainee,Data Capturer]",Senior Consultant,"[QA & Development Testing,Analyst Developer]","[Software Testing,Functional Requirements,Translation Of Business Analysis To Frds,System Requirements,Business Process Analysis,System Design,Software Requirements,Software Design', u""Translation Of Frd'S To Sr'S""]",1865
1865,"[Labour Relations Management Course,Progamming Diploma,Progam Analysis And Cobol,B.A.(Law)]","[Acceleration,Airborne Consulting,Celltalk PLC,Consequent,Consulting,Crux CTI,Interactive Solutions (Blake & Associates),L@Wyers Access WEB,Process Computing Logistics,Self,Skillpoint,Skillpoint Software,VB Software]","[BI / Business Analyst,Developer]","[Consultant,Senior Business Analyst,Consultant,Developer,Lead Developer,Analyst Developer,IT Manager,Senior Developer Analyst,Team Leader,Implementation and Support,Instructor,Systems Analyst Trainer]",Extended Maternity Leave,"[Web Development,BA SQL BI Developer Data Architect]","[Communication Skills (Written & Verbal),Ssrs,MS SQL,Software Deployment,Data Modelling,HTML,Sdlc / Change Control,Visual Studio,Ssas,Business Analysis,Asp.Net (C#),Fat / Uat Testing,TFS,MS - Excel,Conducting Workshops / Facilitation,Agile Methodologies,MS - Project,Ssis,Visio,Meeting Facilitation,Systems Analysis,Lead Developer / Mentoring,Senior Ba (Mentoring),Asp.Net (Vb),Language - C,Visual C++,DOS,Language - C++,Scom Configuration,Dundas Charts, Gauges, Maps,Telerik,Edi - X25,Java,Ajax,Msmq,EWS,Javascript,Exchange Powershell Scripting,Crystal Reports,Unix,Jbuilder,Cobol,Delphi 7,Nhibernate]",1866
1866,"[Business Analysis,Bsc Information Systems,Diploma Crystal Reports,B.Sc Computer Science,National Diploma Information Technology]","[43PLC,Arc2 Contracting,Careerjunction,Free Software Innovation Unit(Uwc),Go2africa,Pick n Pay,Pod1,UWC (Computer Science),WEB]","[Senior Developer,Systems Analyst,Analyst Developer,Systems Analyst,Analyst Developer]","[Web Developer,Web Developer,Web Developer,Web Developer,Lab Assistant,Baker]",Senior Web Developer,"[Developer,Senior Developer]","[Ubuntu Linux,Java,HTML,XML,Subversion,MS Office Suite,Eclipse Ide,PHP,Apache,Mysql,Python,Javascript,Ajax,Netbeans Ide,E-R Modelling,Test Driven Development,Jquery,Magento,Symfony,Design Patterns,Aspectj,Asp Classic,Postgresql,Xslt,Pylons,Visual Basic,Genshi Templating,Sqlalchemy Orm,Smarty Templating,Sas Programming,IIS,Crystal Reports,C#,JSP,Web Services (Soap)]",1867
1867,"[B.Sc Computer Science,\u2022\tSAFe 4.0 Agilist,Scrum Master Accredited Certification,Programming with C#,Wholesale & Retail Sales Practice,End User Computing Certificate,Senior Certifacae]","[Beezlink Technologies,Boardmans Canal Walk,Edgars V&A Waterfront,Identity Gugulethu Square Mall,Microsoft/South African Qualifications Authority,Mutual & Federal,South African Qualifications Authority,Standard Bank]","[Software Developer,Software Development Systems Analyst 2016,C# Software Engineer,PHP Developer,Scrum Master]","[Store Manager,Floor Sales Manager,Trainee Manager Learnership,Claims Negotiator,Reseacher Network Administrator]",Developer Consultant,"[Sharepoint Analytic Developer RND,Sharepoint Analytic Developer Internship RND]","[HTML,windows 8,WindowsXp,windows 10,Microsoft Office Suit,php,Windows 7,Windows Server 2008,Active Directory Configuration,MSSQL Server,JIRA,Visio,Confluence,mySQL,Crowd,Create Process Analysis Documents,Public Speaking,Sharepoint Configuration,IIS,Windowns 98,Sharepoint Administration,CSS,Lotus Notes Installation And Configuration,Jquery,C#,InfoPath,Apache,Visual Studio,IBM Notes Installation/Configuration,JSP,Application Business Application Programming,SEO,Java,Ubuntu Linux,Pascal,bootstrap 3.0,Writing Test Plans,Writing Specifications Documents,Drupal,AngularJS,PostgreSQL]",1868
1868,"[E-Marketing Award (Cim),B.Rek Ii, B.Comm (Stellenbosch)]","[Robertson Valley Technologies,Worldpay (Part of The Royal Bank of Scotland)]",[],[],Marketing Manager,"[Senior Web Developer Multimedia Designer,Partner & IT Engineer]","[Internet Marketing,HTML,Web Design & Development,Computer Literacy,Web Usability,Direct (Database) Marketing &#8211; E-Mail Marketing,Web Analytics,E-Commerce,Brand Marketing,Graphic Design,Javascript,PHP,Database Design & Development,Database Management (Sql),Project Management,Management,XML,Strategic/Relationship Marketing,ASP]",1869
1869,"[Banking Compliance Studies,Project Management:International Efmd Eqis,Negotiating For The Best Results,Skills Training & Dev For Comunity Leaders,Institute Of Personnel Service Consultants,Freight Management,Nd Marketing And Sales Management]","[All Power Engineering,Calabash Trust,Deugro Freight Projects,DHL International,Easyway Freight & Courier Services,Fast Fire & Security,Kuehne & Nagel Johannesburg,Nedbank, Business Banking,New LAW Courts Port Elizabeth,Nomvula ART & Crafts,PAG,Rohlig-Grindrod Cape Town,Santam Bank,Skynet Worldwide Express,Standard Bank,Sun Couriers/ Adfreight Port Elizabeth]",[],"[Fire Detection & Security Solution Sales Engineer,Project Administrator Facilitator,Project Manager Community Developer Facilitator,Sales Manager Route Development Freight Forwarding,Route Development Manager Far East and Europe,National Sales and Marketing Manager,Key Accounts Manager Sales Executive,Key Accounts Manager Sales Executive,Branch Manager,Branch Manager,Service and New Business Sales Executive,Receptionist Internal Sales,Interpreter in Xhosa English Afrikaans,Bank Clerk,Operations Sales Executive,Bank Clerk]",Executive Director for Ngo,"[Executive Director for Ngo,Sales Executive]","[Sme, Social & Economic Development,MS Word Basic and Intermediate,MS Excel Basic and Intermediate,Microsoft Powerpoint,MS Project]",1870
1870,[n4],"[Blue Label Telecoms,Europe Car,Lesira-Teq,MIH Internet Africa,RockStar Consulting,The IQ Business Group,Vodacom]","[Senior Mobile Developer,Mobile Architect]","[Senior Mobile Architect,Senior Mobile Developer,Analyst Programmer,Analyst Programmer]",Senior Mobile Developer,"[Senior Principal Mobile Developer,Senior Mobile Architect]","[Java,Agile,JavaScript,Html5,Android,Cordova]",1871
1871,"[Mcpd: Web Developer 4,Information Systems (Engineering),Matric Senior]","[Iterative Technologies,Redisolutions]","[ASP.Net WEB Developer,.Net Developer,.Net Developer]",[],Developer,[Software Developer],"[Sql 2005,C#,Asp.Net,Silverlight]",1872
1872,"[Post Graduate Diploma In Tax Strategie,Post Graduate Diploma In Financial Planning (Cfp),Baccalaureus Commercii Financial Management,Grade 12]","[Centre for Financial Planning Law, UFS,Parexel International,Petro Swart Caterers,Umfa Holdings (Utility Management \tFor Africa)]","[Consultant,Advisor,Facilitator etc,Advisor]",[Caterer],Associate Proposal Developer Parexel,"[Assistant Researcher,Financial Administrator]","[Internet Explorer,Microsoft Excel,Microsoft Outlook,Microsoft Word,Pastel,Microsoft Powerpoint]",1873
1873,"[B-Tech Information Technology,A+ Certificate,National Diploma It,National Senior Certificate (Grade 12)]","[Free State Department of Education,Free State Health Department,Intec Telecoms Systems,Metropolitan Life,Microzone]",[Java Developer],"[Junior Programmer,Bursary Holder]",Analyst Developer,"[Java Developer,Computer Systems Analyst Programmer]","[Java,Oracle Pl/Sql,Javascript,Oracle Sql Plus,Oracle Application Express(Htmldb),Oracle Report,Visual Basic 6,Visual Basic 6,Oracle 10g Database Administration]",1874
1874,"[bachelor degree in science,web designing diploma]","[Padvertising,Revamp Consulting - IT Services,Tata Consultancy Services (TCS)]","[Web designer,web developer,front-end developer,UI UX Designer]",[],Senior Ui Developer,"[Front-End Developer,.NET Developer]","[php,html5,css animations,jquery,bootstrap,C#,JavaScript,HTML,SQL,Angular Js,CSS,css3,foundation,jqueryWithAjax,Git,github,ajax,photoshop,testing]",1875
1875,"[Chattered Management Accounting Qualification,Internal Audit]","[Barclays Capital,Ernst & Young,Shell,Shell UK,South African National Defence Force (SANDF),Telecine]",[],"[Business Analyst,Business Analyst,Analyst]",Business Analyst,"[Database Developer,Business Analyst]","[u""Excel To Macro'S Level"", u'Access Databases,JDE,Cognos,Business Objects,Hyperion (Essbase)]",1876
1876,[Computer Systems Engineering],[Denel],[],[],Web Developer,[],"[Farming,Project Mgr,Teacher]",1877
1877,"[Bsc honors in computing,MCSA web application,Bsc computer science and mathematics]",[The Innovation HUB],"[Trainee Developer,trainee web developer]",[],Developer,[],"[java,C++,android,CSS,MS SQL,C#,HTML,SQL,php,self-driven,ability to work under pressure,team player]",1878
1878,[Web and Application Development],[Multichoice SA],"[Junior Software Developer,Junior Web Developer,Junior PHP Developer,Junior C# Developer]",[],Junior Software Developer,[],"[MS PowerPoint,Adobe Photoshop,MS Excel,MS Outlook,MS SQL,MS Word,CSS,SQL,C#,JavaScript,HTML5,MySQL,PhP,Web Hosting (Unix),Java,Adobe Flash,Rajex,Visual Basic .NET,SEO]",1879
1879,[Completion Of Modules In Software Development],"[HKS Creations,Isolve Business Solutions,Konica Photo Express]",[],[],Information and Business System Operations Manager,"[Developer,Assistant Store Manager]","[Microsoft Windows,Microsoft Office,The Java Language,The C#.Net Language,Uml/ Object Orientation Analysis And Design,Microsoft Sql Server,Visual Studio (Microsoft.Net Development Tool)]",1880
1880,"[B.S,Grade Xii]","[Convergeon HR Consulting PVT,Standard Chartered Bank, Scope International]",[],[],HR Executive,[Developer],"[C++, Core Java, MS SQL, J2EE,Windows 98-Xp, Dos, Networks]",1881
1881,[Information Technology],[ABSA],[Developer C#.NET],[],Developer C#.NET,[],"[.net framework,Oop,Web Services,mysql,C#,Coding following C# best practices.,Wcf]",1882
1882,[Matric],"[Fusion Interactive,Hero Strategy & Design,Mindspring (For Datacentrix),M-Web Head Office (N1 City),OpenBox Software,Piccing / Curate.ly,Promo Connection,Synergy Online]","[C# ASP.NET Developer,Solutions Architect]","[Solutions Architect Systems Analyst,Systems Analyst Developer,Systems Analyst and Developer,Senior Internet Developer,Internet Developer Consultant]",Solutions Engineer,"[Systems Analyst Programmer,Developer C#.NET]","[HTML, CSS,Javascript, JQuery,C# Development,Microsoft Sql Server,Webservices,Xml/Xsl/Soap,Asp.Net Development,Visual Basic,Web Design (Graphics)]",1883
1883,"[B.Eng (Computer Engineering) Honours,Bachelor Of Engineering (B.Eng)Computer Engineerin,Matric]",[Eskom],[],[],Network Tools Developer and Analyst,[],"[Visual Basic Programming,\u2022\tKnowledge Of Software Development Lifecycle, Sof,\u2022\tDatabase Design And Management. Proficient In Sq,Web Development (Asp, C, C++, Html),\u2022\tApplication Architecture Design]",1884
1884,"[KNX Tutor,PROFIBUS PA Engineer,PROFIBUS Engineer,MSC Eng Electrical]",[Industrial Data Xchange],"[Solutions Architect,Technical Lead]",[],Head of Development,"[Lead Developer,Software Developer C#.NET]","[Industrial Data Communications,.NET Micro,.NET,PROFIBUS,Embedded Platform Development,OPC DA,StarNET HDLC,Industrial Automation,SQL,Windows Embedded,IIoT,Electronics,Agile/SCRUM,KNX,OPC UA,MQTT]",1885
1885,"[National Diploma Cost & Management Accounting,Senior Certificate Full Exemption]","[Citadel Investment Services,Hotspice Products,IMC (Southern Investment Management,Ovation Global Investment Services]",[],[Accounts Admin Clerk],Systems Analyst Developer,"[Client Services Administration,Commission Clerk]","[Microsoft Office,Account Ability,Accpac]",1886
1886,"[Certified Web Developer,National Diploma in IT,Matric certificate]","[Central University of Technology,Old Mutual,Tech Mahindra]","[Software Development Systems Analyst 2016,Software Tester]",[],Software Developer,"[Trainee,Lab Assistant]","[CCNA4,JAVA,CCNA3,SAS PROGRAMING,CCNA 2,CCNA 1,Microsoft office,Automation Testing,Microsft Azure,sql Server,ASP.NET MVC,ADO.NET,manual Testing,Hp FTP,WEB API]",1887
1887,"[Master In Business Administration (Mba),Bachelor Of Science,Compaq Ase,Microsoft Certified Database Administrator (Mcdba),1998\tMicrosoft Certified Systems Engineer  (Mcse),Matric]","[ABSA,Dimension Data,ECS Enterprise,First National Bank,Houghton Assets,IBM Network Solutions,Nedcor,Netstar,NU Metro Entertainment,Persetel Networks,Telkom,Telkom Regional Information Systems]","[IT Manager,Project Manager,Software Development Manager,Project Manager,Software Development Manager]","[Senior Developer,Senior Developer,Developer SQL DBA Project Manager,Senior Technical Consultant,IT Operations Manager,Network Specialist,Systems Engineer Onsite Support Manager,Network Specialist,Maintenance Technician,Maintenance Technician]",Global Data Manager Project Manager,"[Midrange Data Manager,International Network Analyst]","[Hubs,LAN,WAN,Ethernet,MS SQL Server,Netbeui,Tcp/Ip,Dcom,Visual Basic,Active X,T-Sql / Queries / Triggers / Stored Procedures,COM,Software Development Management,Microsoft Transaction Server,Management,Windows Server Nt/2000/2003/Xp/Vista,Interdev,ASP,Dhtml,Microsoft Access,Oledb,Cisco,MS EXCHANGE,MS Proxy,MS NETWORKING,Switches,It Management,Project Management,Server Security,Vendors,Sla Management,My Sql,Network Security,Asp.Net,Xml / Xsl,Prince 2,Budgets,C#,C#.Net,Java,Vb.Net,Web Services,Oracle,Novell]",1888
